id_str,from_user,text,created_at,time,geo_longitude,geo_latitude,lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_utc_offset,status_url,entities_str
627599776213811200,GhazaliAdawa,Winners and losers as Obama visit bags Sh1 trillion http://t.co/fXdyV2AbDp via @dailynation,Sat Aug 01 22:00:21 +0000 2015,8/2/2015,41.8567221,3.9470622,en,,,,,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",http://pbs.twimg.com/profile_images/464822696576942080/lge7Lio8_normal.jpeg,218,655,10800,,
627563459576758272,Ezraangiela,I think President Obama's body language was not right in the photo with William Ruto. It has a serious political message.,Sat Aug 01 19:36:02 +0000 2015,8/1/2015,34.78610685,-0.0759279,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,3,132,,,
627560543314911232,Ezraangiela,Obama's body language is not right in the photo with Ruto. It had a political message like.,Sat Aug 01 19:24:27 +0000 2015,8/1/2015,34.7862015,-0.0753588,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,3,132,,,
627556093300969472,vincentachuka,Plus-winners n loosers of Obama visit..only in the sunday nation tomorrow,Sat Aug 01 19:06:46 +0000 2015,8/1/2015,36.82508934,-1.30554547,en,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/621582355312979968/uumUdPT4_normal.jpg,2265,1483,10800,,
627556093300969472,vincentachuka,Plus-winners n loosers of Obama visit..only in the sunday nation tomorrow,Sat Aug 01 19:06:46 +0000 2015,8/1/2015,36.82508934,-1.30554547,en,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/621582355312979968/uumUdPT4_normal.jpg,2265,1483,10800,,
627528567165972480,BongsonP,"Naye Obama, opama?",Sat Aug 01 17:17:23 +0000 2015,8/1/2015,32.6740254,0.3511198,und,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/607133841774505984/maJlCZu5_normal.jpg,27,73,,,
627527236749512704,IShirengo,"@DjSlim254 @Milele_FM ,niko ndani kitambo kaa obama kwa beast,bik up watu wa mukhoje webuye,ni Isaac shirengo frm naks",Sat Aug 01 17:12:06 +0000 2015,8/1/2015,36.1222536,-0.2191613,in,1110481075,DjSlim254,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/624121885547208706/ExP6HM8X_normal.jpg,326,2007,,,
627527236749512704,IShirengo,"@DjSlim254 @Milele_FM ,niko ndani kitambo kaa obama kwa beast,bik up watu wa mukhoje webuye,ni Isaac shirengo frm naks",Sat Aug 01 17:12:06 +0000 2015,8/1/2015,36.1222536,-0.2191613,in,1110481075,DjSlim254,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/624121885547208706/ExP6HM8X_normal.jpg,326,2007,,,
627515287307337728,anonymousgum,Kenyans Put Obama's Visit Under the Microscope http://t.co/Q8PKmoTW0t,Sat Aug 01 16:24:37 +0000 2015,8/1/2015,37.9061928,-0.023559,en,,,,,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://pbs.twimg.com/profile_images/478851493131341825/dm5Wm-uK_normal.jpeg,3995,88,25200,,
627512100471095296,KingKythree,"@citizentvkenya ""kidero Grass si ya Obama ni ya Pope"" heheh.. nice! @UKenyatta @KanzeDena @LuluHassan",Sat Aug 01 16:11:58 +0000 2015,8/1/2015,39.6382034,-4.0263381,tl,70394965,citizentvkenya,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/616312693058871296/WIrfOZgZ_normal.jpg,12,56,,,
627512100471095296,KingKythree,"@citizentvkenya ""kidero Grass si ya Obama ni ya Pope"" heheh.. nice! @UKenyatta @KanzeDena @LuluHassan",Sat Aug 01 16:11:58 +0000 2015,8/1/2015,39.6382034,-4.0263381,tl,70394965,citizentvkenya,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/616312693058871296/WIrfOZgZ_normal.jpg,12,56,,,
627472714865975296,SamuelOtieno14,"""Until 1974, in Chicago it was illegal to appear in public if you were ugly""President Obama discussing the kind of discriminations ppl faced",Sat Aug 01 13:35:27 +0000 2015,8/1/2015,36.8103876,-1.279649,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/540036518916534272/bElyyWlS_normal.jpeg,413,1789,,,
627465884970426369,Sirrickoz,Wait Obama promised people money in Eldoret through some bank if they open accounts. National Bank defrauding Kenyans.,Sat Aug 01 13:08:19 +0000 2015,8/1/2015,36.8444517,-1.3248615,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/625005965746814976/Vec3iz7w_normal.jpg,1003,807,10800,,
627355438007386112,Kisskisii,Reggae is Obama  en me together. @sweetbaibegal @lilianchike2 @xtiandela @martoduke @BrendaObath @exclusivedeejay #theDetox,Sat Aug 01 05:49:26 +0000 2015,8/1/2015,36.8858034,-1.2967825,en,117000033,sweetbaibegal,,627354760627265537,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",http://pbs.twimg.com/profile_images/627007005941760000/4WC-n7DG_normal.png,2106,1154,-18000,,
627355438007386112,Kisskisii,Reggae is Obama  en me together. @sweetbaibegal @lilianchike2 @xtiandela @martoduke @BrendaObath @exclusivedeejay #theDetox,Sat Aug 01 05:49:26 +0000 2015,8/1/2015,36.8858034,-1.2967825,en,117000033,sweetbaibegal,,627354760627265537,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",http://pbs.twimg.com/profile_images/627007005941760000/4WC-n7DG_normal.png,2106,1154,-18000,,
627350159442243584,Kisskisii,"Obama's city huku ""@RasPotter: locked outa mombasani..... @martoduke @kisskisii @brendaobath @exclusivedeejay @xtiandela""",Sat Aug 01 05:28:28 +0000 2015,8/1/2015,36.88653446,-1.2954605,in,1360182702,RasPotter,,627348520446611456,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",http://pbs.twimg.com/profile_images/627007005941760000/4WC-n7DG_normal.png,2103,1152,-18000,,
627332046789193728,TylerBurgardt,"When Obama was in town last week. @ Turbo, Rift Valley, Kenya https://t.co/z4PYe8IzfY",Sat Aug 01 04:16:29 +0000 2015,8/1/2015,35.05,0.633333,en,,,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",http://pbs.twimg.com/profile_images/2435267161/wzidasmvrbnr96bmfzyh_normal.jpeg,489,576,-14400,,
627213567067049985,AdhochDennises,"ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ""@ntvkenya: The first fisis: Uhuru's sons Muhoho &amp; Jomo miss out on Obama daughters #TTTT http://t.co/mFaEs9ODHR""",Fri Jul 31 20:25:42 +0000 2015,7/31/2015,36.8929134,-1.2860395,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/597841937769586689/t92wAwQP_normal.jpg,4613,3685,10800,,
627209917653385216,Saucenicuh,Obama alikuja kurefresh accent ya Kaligraph #theTrend,Fri Jul 31 20:11:12 +0000 2015,7/31/2015,36.9491338,-1.2452007,in,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/622132820996042752/-Jkk47hq_normal.jpg,428,585,10800,,
627167777661550592,Shalarisheikh,Why will a person think that Obama can save Kenya while we have people with good personality in our country.Kenya can only be as,Fri Jul 31 17:23:45 +0000 2015,7/31/2015,36.8531509,-1.2672499,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/627165689447628800/e9QvYkxt_normal.jpg,1,41,,,
627160817079861248,KizitoFrancisUG,"Oh Lord 

That look on Mugabe when Obama was talking shit about his ways ðŸ˜‚",Fri Jul 31 16:56:05 +0000 2015,7/31/2015,32.6071395,0.3502977,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/621343877585313792/EiW6DHCD_normal.jpg,1217,791,10800,,
627159648727011328,Moje_89,"Afadhali Obama arudi,RT @Ma3Route: traffic at standstill on Museum hill road. Ambulances stuck too  http://t.co/VNKvOWZkQt via @kenyanspider",Fri Jul 31 16:51:26 +0000 2015,7/31/2015,36.89182103,-1.26126126,en,,,,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",http://pbs.twimg.com/profile_images/620902877293322240/KLqtOWUU_normal.jpg,979,2001,-25200,,
627159591097364480,jokawega,A little know persobn gets to interveiw obama @ capital Fm hashhhhhh jeff n larry lesson learn to stay grounded,Fri Jul 31 16:51:13 +0000 2015,7/31/2015,36.8499898,-1.2600052,en,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/545852286917177344/jT396Nn3_normal.jpeg,98,280,,,
627123422817054721,milly_de_milla,If this is true then those billions spent during Obama day was pocketedâ€¦ https://t.co/8jVD4PcHFB,Fri Jul 31 14:27:30 +0000 2015,7/31/2015,35.27699891,0.51411999,en,,,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",http://pbs.twimg.com/profile_images/560865766934077440/oqmfKlGG_normal.jpeg,591,425,10800,,
627099399865434113,Atusiimirwe_,Obama is full of balls... His urge to refer NRM to a terrorist organization is bound. The quest for change has ensued.,Fri Jul 31 12:52:02 +0000 2015,7/31/2015,32.56198098,0.33643498,en,,,,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",http://pbs.twimg.com/profile_images/626002209617092608/kw2T6EeA_normal.jpg,1139,645,3600,,
627099399865434113,Atusiimirwe_,Obama is full of balls... His urge to refer NRM to a terrorist organization is bound. The quest for change has ensued.,Fri Jul 31 12:52:02 +0000 2015,7/31/2015,32.56198098,0.33643498,en,,,,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",http://pbs.twimg.com/profile_images/626002209617092608/kw2T6EeA_normal.jpg,1139,645,3600,,
627020355832451072,topix_nbi,"Washington's fight over the budget might shut down the government again: President Obama, shown July 26 during... http://t.co/QuboEFkSXT",Fri Jul 31 07:37:56 +0000 2015,7/31/2015,36.81095505,-1.27727503,en,,,,,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://pbs.twimg.com/profile_images/57311503/kenya_normal.jpeg,1602,1,10800,,
